code,ms_name,ms_category,ms_investment_style,ms_id
100033,Aditya BSL Equity Advantage Gr,Large & Mid-Cap,Large Growth,F0GBR06S60
100034,Aditya BSL Equity Advantage IDCW-R,Large & Mid-Cap,Large Growth,F00000Z7GT
100037,Aditya BSL Income Reg Qt IDCW-R,Medium to Long Duration,,F00000Z7IB
100038,Aditya BSL Income Reg Gr,Medium to Long Duration,,F0GBR06S8J
100041,Aditya BSL Liquid Instl Dl IDCW-R,Liquid,,F0GBR06S69
100042,Aditya BSL Liquid Retl Gr,Liquid,,F0GBR06S6J
100043,Aditya BSL Liquid Instl Gr,Liquid,,F0GBR06S6B
100044,Aditya BSL Liquid Retl Dl IDCW-R,Liquid,,F0GBR06S6I
100046,Aditya BSL Liquid Reg Dl IDCW-R,Liquid,,F00000Z7H5
100047,Aditya BSL Liquid Reg Gr,Liquid,,F0GBR06S6F
100048,Aditya BSL Liquid Instl Wk IDCW-R,Liquid,,F00000Z7H4
100051,Aditya BSL Liquid Reg Wk IDCW-R,Liquid,,F00000Z7H6
100057,Aditya BSL Gov Sec Reg Qt IDCW-R,Government Bond,,F00000Z7I0
100058,Aditya BSL Gov Sec Reg Gr,Government Bond,,F0GBR06S8D
100062,,,,
100063,Aditya BSL MNC IDCW-R,Equity - Other,Mid Growth,F00000Z7IY
100064,Aditya BSL MNC Gr,Equity - Other,Mid Growth,F0GBR06S94
100067,Aditya BSL Tax IDCW-R,ELSS,Large Growth,F00000Z7JE
100068,Baroda ELSS 96 A IDCW-P,ELSS,Large Blend,F0GBR06SAC
100077,DSP Bond Fund Reg IDCW-R,Medium Duration,,F00000Z7SS
100078,DSP Bond Fund Reg Gr,Medium Duration,,F0GBR06SDL
100079,DSP Bond Fund Reg Mly IDCW-R,Medium Duration,,F00000Z7ST
100080,DSP Flexi Cap Fund IDCW-R,Flexi Cap,Large Growth,F00000Z7T3
100081,DSP Equity & Bond Fund Reg Gr,Aggressive Allocation,Large Growth,F0GBR06SDJ
100082,DSP Equity & Bond Fund IDCW-R,Aggressive Allocation,Large Growth,F00000Z7SI
100084,DSP Govt Sec Reg Gr,Government Bond,,F0GBR06SEA
100085,DSP Govt Sec Reg IDCW-R,Government Bond,,F00000Z7TG
100086,DSP Govt Sec Reg Mn IDCW-R,Government Bond,,F00000Z7TH
100087,DSP Savings Reg Gr,Money Market,,F0GBR06SE7
100088,DSP Savings Reg IDCW-R,Money Market,,F00000Z7UP
100089,DSP Savings Reg Mn IDCW-R,Money Market,,F00000Z7UQ
100119,HDFC Balanced Adv Gr,Dynamic Asset Allocation,Large Value,F00001130R
100120,HDFC Balanced Adv IDCW-R,Dynamic Asset Allocation,Large Value,F00001130Q
100123,HDFC Income Qt IDCW-R,Medium to Long Duration,,F00000Z81Y
100124,HDFC Income Gr,Medium to Long Duration,,F0GBR06RNE
100152,Principal Nifty 100 Equal Wgt IDCW-R,Index Funds,Large Blend,F00000Z8UW
100153,Principal Nifty 100 Equal Wgt Gr,Index Funds,Large Blend,F0GBR06S1I
100156,Principal Tax Savings Reg Gr,ELSS,Large Blend,F0GBR06S29
100171,,,,
100172,,,,
100173,,,,
100174,Quant Tax Plan IDCW-P,ELSS,Mid Blend,F0GBR06SH7
100175,Quant Tax Plan Gr,ELSS,Mid Blend,F0GBR06SH6
100176,Quant Small Cap IDCW-R,Small-Cap,Small Blend,F00000Z7XE
100177,Quant Small Cap Gr,Small-Cap,Small Blend,F0GBR06SGW
100218,JM Large Cap IDCW-R,Large-Cap,Large Blend,F00000Z8LH
100219,JM Large Cap Gr,Large-Cap,Large Blend,F0GBR06RTS
100220,JM Equity Hybrid IDCW-R,Aggressive Allocation,Large Blend,F00000Z8L3
100221,JM Equity Hybrid Gr,Aggressive Allocation,Large Blend,F0GBR06RTK
100222,JM Income IDCW-R,Medium to Long Duration,,F00000Z8M5
100223,JM Income Gr,Medium to Long Duration,,F0GBR06RV3
100233,JM Liquid Wk IDCW-R,Liquid,,F00000Z8M3
100234,JM Liquid Gr,Liquid,,F0GBR06RUU
100244,JM Liquid Qt IDCW-R,Liquid,,F00000Z8M2
100247,JM Liquid Sup Instl Gr,Liquid,,F0GBR06RUX
100254,JM Value Gr,Value,Large Blend,F0GBR06RTL
100264,Kotak Gilt Investment Reg Qt IDCW-R,Government Bond,,F00000Z8N7
100265,Kotak Gilt Investment Reg Gr,Government Bond,,F0GBR06RWW
100280,Kotak Gilt Inv PF & Trust Reg IDCW-R,Government Bond,,F00000Z8N6
100281,Kotak Gilt Inv PF & Trust Reg Gr,Government Bond,,F0GBR06RX2
100286,Kotak Equity Hybrid Reg IDCW-R,Aggressive Allocation,Large Growth,F00000Z8MJ
100291,,,,
100292,,,,
100298,Kotak Bond Reg Qtrly IDCW-R,Medium to Long Duration,,F00000Z8MP
100299,Kotak Bond Reg Gr,Medium to Long Duration,,F0GBR06RVL
100300,Kotak Bond Reg Yr IDCW-R,Medium to Long Duration,,F00000Z8MQ
100301,,,,
100312,LIC MF Flexi Cap IDCW-R,Flexi Cap,Large Growth,F00000Z8QF
100313,LIC MF Flexi Cap Gr,Flexi Cap,Large Growth,F0GBR06RY4
100314,LIC MF Bond IDCW-R,Medium to Long Duration,,F00000Z8QD
100315,LIC MF Bond Gr,Medium to Long Duration,,F0GBR06RY0
100316,LIC MF Gov Sec IDCW-R,Government Bond,,F00000Z8QH
100317,LIC MF Gov Sec Gr,Government Bond,,F0GBR06RY6
100318,LIC MF Gov Sec PF IDCW-R,Government Bond,,F00000Z8QI
100319,LIC MF Gov Sec PF Gr,Government Bond,,F0GBR06RY7
100321,LIC MF Equity Hybrid IDCW-R,Aggressive Allocation,Large Growth,F00000Z8Q9
100323,LIC MF Equity Hybrid Gr,Aggressive Allocation,Large Growth,F0GBR06RXY
100325,LIC MF Unit Linked Insurance,Balanced Allocation,Large Growth,F0GBR06RZ1
100332,LIC MF Large Cap IDCW-R,Large-Cap,Large Growth,F00000Z8QK
100337,,,,
100338,,,,
100348,ICICI Pru Large & Mid Cap IDCW-R,Large & Mid-Cap,Large Blend,F00000Z8AO
100349,ICICI Pru Large & Mid Cap Gr,Large & Mid-Cap,Large Blend,F0GBR06R08
100351,ICICI Pru FMCG IDCW-R,Sector - FMCG,Large Growth,F00000Z86Y
100352,ICICI Pru FMCG Gr,Sector - FMCG,Large Growth,F0GBR06S3I
100353,ICICI Pru Long Term Eq(TaxSav)Dir IDCW-R,ELSS,Large Blend,F00000Z87U
100354,ICICI Pru Long Term Eq (Tax Sav) Gr,ELSS,Large Blend,F0GBR06R27
100355,ICICI Pru Equity & Debt Mthly IDCW-R,Aggressive Allocation,Large Blend,F00000Z854
100356,ICICI Pru Equity & Debt Gr,Aggressive Allocation,Large Blend,F0GBR06S2Q
100357,ICICI Pru Liquid Qt IDCW-R,Liquid,,F00000Z88G
100359,ICICI Pru Liquid Instl Pls Dl IDCW-R,Liquid,,F0GBR06R0R
